year,Avg_Count,Avg_Avg_milliseconds
2011,58.6315789473684,25051.7653679485
2012,47.3,23268.4153618237
2013,50.0526315789474,24232.3560352539
2014,42.9473684210526,41678.8111194834
2015,39,25959.984931619
2016,47.0952380952381,109192.045217302
2017,34.7,42646.6814629488
2018,25.5238095238095,24816.6780516417
2019,30.952380952381,25202.8474275546
2020,34.9411764705882,118333.485579993
2021,38,175064.959553739
2022,36.5909090909091,99722.452583004
